"School Environmental Safety Incidents, Rate Per 1,000 K-12 Students",,,,,,,,,,,,,,,,,,,,
,2023,,2022,,2021,,2020,,2019,,2018,,2017,,2016,,2015,,2014,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Nassau,379,30.2,383,31.2,242,20.5,223,18.4,337,28.0,164,14.0,124,10.8,181,16.2,120,10.7,164,14.7
Okaloosa,797,24.7,1074,33.7,581,18.6,701,21.9,1278,40.8,965,30.9,874,28.5,884,29.3,933,30.7,770,25.5
Okeechobee,445,70.9,360,57.3,344,55.8,233,35.9,260,40.9,223,35.2,157,24.5,151,23.8,149,23.4,153,23.9
Orange,12142,59.3,10230,51.0,4896,24.8,7861,38.1,5397,26.3,4428,22.0,4032,20.4,4842,25.0,4556,23.8,4267,22.8
Osceola,2282,31.7,2071,29.1,684,10.1,464,6.8,595,8.9,361,5.6,305,4.9,366,6.0,455,7.7,368,6.3
Palm Beach,6445,34.5,6599,35.4,1460,7.9,4262,22.2,5983,31.5,4019,21.2,4420,23.4,4691,25.3,5080,27.2,5406,29.6
Pasco,3255,39.4,3162,39.6,1870,24.6,2042,27.1,2743,37.2,1866,25.8,1117,15.7,1185,17.1,1056,15.2,1097,16.1
Pinellas,4737,52.5,4008,43.5,1988,21.2,2379,24.6,4056,41.3,3596,36.3,2723,27.1,2455,24.3,2662,25.7,3237,31.3
Polk,5491,49.1,4506,41.8,2585,25.0,2518,24.0,3124,30.3,2983,29.4,2846,28.5,3127,31.6,3101,31.1,3174,32.4
Putnam,483,48.4,439,44.1,293,29.1,292,27.8,252,23.7,203,18.9,177,16.3,156,14.4,181,16.4,254,22.9
St. Johns,1763,35.7,1709,36.1,700,16.0,507,11.8,726,17.6,594,15.0,514,13.6,498,13.8,398,11.3,427,12.7
St. Lucie,1776,39.4,1609,37.3,641,15.5,708,17.1,1338,32.7,1518,37.6,1678,42.0,1931,48.9,2222,55.4,2262,57.3
Santa Rosa,868,28.8,929,30.9,568,20.8,575,20.1,685,24.5,419,15.3,290,10.8,296,11.3,319,12.1,243,9.4
Sarasota,2724,61.3,1980,45.6,1080,25.6,859,20.0,856,20.1,331,7.8,300,7.1,298,7.1,424,10.1,397,9.6
